==========================================================================================================================================================================
SIDE BY SIDE - B1 vs B2 - coupling 0.9 - CFAR detection (observer 0.69.0)
Both directions detected. Two complete rounds.
==========================================================================================================================================================================

time     | B1 T#  state       phase          grow  temp   co2  hum  | B2 T#  state       phase          grow  temp   co2  hum  |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
07:24:51 | B1    0 optimize                    0.000  41.9  516 0.878 | B2                                                            | 
07:25:16 | B1    1 optimize                    0.141  17.5  527 0.581 | B2                                                            | 
07:25:21 | B1                                                            | B2    0 optimize                    0.794  22.4  519 0.743 | 
07:25:37 | B1    1 optimize                    0.000  39.4  637 0.990 | B2                                                            | 
07:25:40 | B1                                                            | B2    1 optimize                    0.000  36.2  590 0.990 | 
07:25:55 | B1    3 optimize                    0.000  37.7  585 0.990 | B2                                                            | 
07:25:57 | B1                                                            | B2    1 optimize                    0.447  13.2  529 0.607 | 
07:26:12 | B1    2 optimize                    0.741  29.3  545 0.654 | B2                                                            | 
07:26:15 | B1                                                            | B2    3 optimize                    0.000  44.4  495 0.817 | 
07:26:27 | B1    5 optimize                    0.755  25.5  495 0.541 | B2                                                            | 
07:26:34 | B1                                                            | B2    2 optimize                    0.000  16.2  552 0.300 | 
07:26:42 | B1    3 optimize                    0.558  32.1  480 0.309 | B2                                                            | 
07:26:50 | B1                                                            | B2    5 optimize                    0.904  20.6  554 0.329 | 
07:26:58 | B1    7 optimize                    0.428  21.8  714 0.700 | B2                                                            | 
07:27:06 | B1                                                            | B2    3 optimize                    0.721  18.0  526 0.499 | 
07:27:13 | B1    4 optimize                    0.000  43.2  699 0.989 | B2                                                            | 
07:27:21 | B1                                                            | B2    7 optimize                    0.434  33.4  537 0.775 | 
07:27:29 | B1    9 optimize                    0.724  22.0  722 0.750 | B2                                                            | 
07:27:36 | B1                                                            | B2    4 optimize                    0.767  28.4  596 0.802 | 
07:27:44 | B1    5 optimize                    0.779  23.6  723 0.804 | B2                                                            | 
07:27:52 | B1                                                            | B2    9 optimize                    0.737  28.4  533 0.695 | 
07:27:59 | B1   11 optimize                    0.000  30.9  768 0.990 | B2                                                            | 
07:28:07 | B1                                                            | B2    5 optimize                    0.000  47.7 1036 0.990 | 
07:28:19 | B1    6 optimize                    0.000  28.7  809 0.950 | B2                                                            | 
07:28:22 | B1                                                            | B2   11 optimize                    0.000  29.5  791 0.990 | 
