========================================================================================================================================================================================================
B1 (receiver) vs B2 (sender) — paired by each 15s trial slot
========================================================================================================================================================================================================

   time  |  B1 state       phase          growth  temp  co2 |  B2 state       phase          growth  temp  co2 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  18:30:40  |  optimize                      0.457  30.8   421 |                                                  |
  18:31:01  |  optimize                      0.496  32.4   501 |                                                  |
  18:31:18  |  optimize                      0.000  27.5   544 |  optimize                      0.000  31.7   520 |
  18:31:36  |  optimize                      0.000  29.3   664 |  optimize                      0.000  34.1   558 |
  18:31:52  |  optimize                      0.000  31.3   654 |  optimize                      0.000  24.5   564 |
  18:32:07  |  optimize                      0.000  47.6   722 |  optimize                      0.000  44.2   543 |
  18:32:23  |  optimize                      0.000  44.6   695 |  optimize                      0.224  37.6   533 |
  18:32:39  |  optimize                      0.000  15.3   655 |  optimize                      0.000  25.7   732 |
  18:32:55  |  optimize                      0.423  31.5   642 |  optimize                      0.000  42.5   801 |
  18:33:10  |  optimize                      0.000  35.6   783 |  optimize                      0.000  37.0   706 |
  18:33:26  |  optimize                      0.615  27.2   464 |  optimize                      0.000  33.0   683 |
  18:33:41  |  optimize                      0.407  26.2   454 |  optimize                      0.000  28.3   503 |
  18:33:57  |  optimize                      0.670  25.4   471 |  optimize                      0.431  31.0   500 |
  18:34:12  |  optimize                      0.000  18.4   516 |  optimize                      0.000  29.7   517 |
  18:34:27  |  optimize                      0.634  30.8   521 |  optimize                      0.696  18.5   501 |
  18:34:46  |  optimize                      0.000  35.5   538 |  optimize                      0.293  37.8   476 |
  18:35:01  |  optimize                      0.522  26.1   635 |  optimize                      0.000  27.1   698 |
  18:35:17  |  optimize                      0.000  38.1   653 |  optimize                      0.000  44.9   625 |
  18:35:32  |  optimize                      0.000  39.4   679 |  optimize                      0.307  38.4   582 |
  18:35:47  |  optimize                      0.396  19.8   615 |  optimize                      0.464  26.8   643 |
  18:36:02  |  optimize                      0.776  20.9   500 |  optimize                      0.000  32.1   548 |
  18:36:17  |  optimize                      0.000  44.1   604 |  optimize                      0.000  44.1   626 |
